code,question,ans1,pts1,ans2,pts2,ans3,pts3,ans4,pts4,ans5,pts5
A13B,Les nuages de type stratus :,se développent horizontalement,3,caractérisent des couches plutôt instables,-6,se développent verticalement,-6,caractérisent des couches plutôt stables,3,,
A14B,Les nuages de type cumulus :,se développent verticalement,3,caractérisent des couches plutôt instables,3,se développent horizontalement,-6,caractérisent des couches plutôt stables,-6,,
A15B,Cochez les affirmations exactes,les stratus sont constitués de cristaux de glace,-6,les cirrus sont constitués de cristaux de glace,3,les nimbostratus donnent des chutes de grêlons,-6,les cumulonimbus sont constitués de gouttes d'eau et de cristaux de glace,3,,
A16M,L'instabilité conditionnelle,désigne la possibilité du développement d'une ascendance dans un air plutôt stable,3,désigne l'impossibilité d'une ascendance à s'élever,-6,implique que la masse d'air soit plutôt instable,-6,implique que la masse d'air soit plutôt stable,3,,
A17B,Les signes distinctifs du Cumulonimbus et du Nimbostratus sont :,le Ns est accompagné d'un orage et le Cb d'un halo,-6,"le Ns donne de la pluie continue et le Cb des pluies orageuses, des éclairs et des vents forts tourbillonnants",6,"le Ns donne des averses violentes, le Cb de la pluie continue",-6,,,,
A18M,Les rues de nuages se produisent généralement :,lorsque la convection est installée et que le vent augmente avec l'altitude,6,lorsque le vent est nul,-6,lorsque la basse couche est stable,-6,,,,
A19B,On peut rencontrer des turbulences dangereuses pour le vol libre dans les phénomènes observés suivants :,rotors d'onde de ressaut,3,stratus,-6,à l'interface d'une couche d'inversion recouvrant une masse d'air générant des ascendances,3,,,,
A1B,"Pour amener une particule d'air à saturation en humidité, il faut :",augmenter sa température,-6,diminuer sa température,6,abaisser son altitude,-6,,,,
A20B,"Hors problème de visibilité, les nuages dangereux pour le vol libre sont les :",strato-cumulus,-6,cumulonimbus,3,nuages de rotors,3,,,,
A21V,Un cumulonimbus :,est dangereux dedans,3,présente un risque plusieurs kilomètres autour,3,peut être approché par-dessous avec prudence,-6,,,,
A22V,Les cumulonimbus sont dangereux car :,ils engendrent de violentes turbulences,2,ils sont le siège d'ascendance puissantes pouvant aspirer l'aile à l'intérieur du nuage,2,ils engendrent des brises au sol rendant l'approche et l'atterrissage problématiques,2,,,,
A23B,Les nuages favorables aux vols de performances sont les :,"nimbostratus, altostratus et cumulonimbus",-6,stratus,-6,cumulus,6,"cirrocumulus, nimbostratus et stratocumulus",-6,,
A24B,"Parmi les nuages ci-dessous, certains produisent généralement des précipitations :",cumulonimbus,3,nimbostratus,3,cumulus,-6,,,,
A25B,"Le ciel est progressivement envahi par des cirrus de plus en plus denses, puis par un voile de cirrostratus de 7/8 :",il va y avoir du brouillard cette nuit,0,un cumulonimbus est en cours de formation,-6,la convection thermique va se renforcer car l'atmosphère se réchauffe,-6,"un front chaud arrive, il va probablement pleuvoir",6,,
A26B,Un halo autour de la lune ou du soleil est souvent :,caractéristique du beau temps qui va durer,-6,le signe de la présence d'altocumulus,-6,le signe de la présence de cirrostratus,4,le signe d'une dégradation prochaine du temps,2,,
A27B,"Parmi ces nuages, certains annoncent l'arrivée d'un front chaud :",cirrostratus,3,cumulus,-6,altostratus,3,cumulonimbus,-6,,
A28B,Le brouillard de rayonnement se forme :,sans vent ou par vent très faible,2,lors de l'arrivée d'une masse d'air chaude sur un sol froid,-6,lorsque le sol se refroidit par une nuit claire,4,,,,
A29B,Le brouillard d'advection se forme :,sans vent,-6,lors de l'arrivée d'une masse d'air chaude sur un sol froid,6,lorsque le sol se refroidit par nuit claire,-6,,,,
A2M,"Trois masses d'air A, B, et C ont une température au sol de 15°. Le point de rosée est respectivement de 14°, 10° et 5°. Laquelle est la plus humide :",A,6,B,-6,C,-6,,,,
A30B,La convection dans un profil de masse d'air plutôt stable :,est possible si un réchauffement suffisant du sol est obtenu,3,est impossible,-6,peut se concentrer le long des pentes bien exposées au soleil,3,,,,
A31B,"En atmosphère humide, les ascendances :",ne sont généralement pas matérialisées,-6,sont très faibles car l'atmosphère humide est à tendance stable,-6,sont souvent matérialisées par des nuages,6,,,,
A32B,L'Hectopascal est une unité de :,pression,6,température,-6,humidité,-6,,,,
A33B,La pression atmosphérique est due :,à la rotation de la terre sur elle-même,-6,au poids de la colonne d'air située au-dessus,6,au réchauffement solaire,-6,,,,
A34B,La vapeur d'eau :,est visible (fines gouttelettes d'eau),-6,est invisible,4,existe partout dans la troposphère,2,existe uniquement dans l'air maritime,-6,,
A35B,La vapeur d'eau :,est visible sous forme de buée blanche,-6,est présente au sol certains matins sous forme de rosée,-6,est invisible,6,,,,
A36M,Quels changements d'états dégagent de la chaleur :,du liquide au gazeux,-6,du gazeux au solide,2,du gazeux au liquide,4,,,,
A37B,Les isobares sur une carte météo montrent :,les niveaux des risques de précipitation,-6,les anticyclones et les dépressions,6,les niveaux de températures,-6,,,,
A38M,Un marais barométrique est caractérisé par :,des isobares espacés,3,des vents plutôt faibles,3,des isobares resserrés,-6,des vents plutôt forts,-6,,
A39M,"Dans un marais barométrique, il y a risque :","hors cas ponctuel de l'orage, de vent fort",-6,d'orage,6,d'onde de ressaut,-6,,,,
A3V,Les éléments constitutifs d'un nuage sont :,"l'eau sous forme gazeuse, soit de la vapeur d'eau",-6,les cristaux de glace,3,les gouttelettes d'eau,3,,,,
A40M, Une dorsale est :,une zone où la pression atmosphérique varie peu,-6,un axe de basses pressions,-6,un axe de hautes pressions,6,,,,
A41B,Un thalweg est :,un axe de hautes pressions,-6,un axe de basses pressions,6,une zone où la pression atmosphérique varie peu,-6,,,,
A42V,"Pour un même volume d'air, l'air chaud :",est plus léger que l'air froid,6,tend à descendre par rapport à l'air froid,-6,se mélange volontiers à l'air froid,-6,,,,
A43B,"Par rapport à l'air chaud, à pression et à volumes égaux l'air froid est :",plus lourd,6,plus léger,-6,identique,-6,,,,
A44B,"Lorsqu'une particule atmosphérique non saturée s'élève sans échanger de chaleur avec l'air ambiant, sa température :",diminue de 1° par 100 m,6,augmente de 1° par 100 m,-6,reste constante,-6,,,,
A45B,"Lorsqu'une particule d'air nuageux est soulevée, sa température :",décroît plus lentement que si la particule contenait de l'air clair,6,décroît plus vite que si la particule contenait de l'air clair,-6,croît plus vite que si la particule contenait de l'air clair,-6,,,,
A46B,"Dans une masse d'air sans nuages, la température est de 15° C au sol et de 12° C 500 m au-dessus. Cette tranche d'air est :",plutôt stable,6,plutôt instable,-6,plutôt sélectivement instable,-6,,,,
A47M,Il existe une inversion de température parmi ces trois relevés :,+22° à 500m / +18° à 1000m d'altitude,-6,-2° à 500m / -10° à 1200 m d'altitude,-6,+18° à 500m / +22° à 1000m d'altitude,6,,,,
A48M,Des changements de température dans l'atmosphère s'observent dans les processus suivants :,"rayonnement, conduction et convection",3,vibration et gradient,-6,"évaporation, condensation",3,,,,
A49B,Le soleil réchauffe principalement l'atmosphère :,directement par rayonnement,-6,directement par convection,-6,indirectement par l'intermédiaire du sol,6,,,,
A4B,"La cause de formation des nuages, c'est :",le refroidissement de l'air jusqu'à son niveau de condensation,6,une forte descendance,-6,le réchauffement de l'air ascendant,-6,,,,
A50B,La chaleur se propage par :,convection,2,conduction,2,rayonnement,2,,,,
A51B,On appelle anticyclone une zone :,de haute pression,6,de basse pression,-6,de vents faibles,0,,,,
A52B,Les anticyclones sont le siège :,plutôt de vents faibles,2,d'un mouvement général ascendant des masses d'air,-6,plutôt de vents forts,-6,d'un mouvement général d'affaissement des masses d'air,4,,
A53B,Le vent météo :,se renforce lorsque les isobares se resserrent,6,s'affaiblit lorsque les isobares se resserrent,-6,n'a rien à voir avec l'espacement des lignes isobares,-6,,,,
A54B,On appelle brise de pente descendante (ou vent catabatique) :,un vent froid qui descend la vallée du Rhône,-6,un vent météo qui descend le long d'une pente,-6,un air qui s'est refroidi au contact du sol et qui descend par gravité le long d'une pente,6,,,,
A55V,La turbulence :,est due à des variations brusques de la vitesse de vol,-6,est due à des mouvements désordonnés de l'air,2,provoque des variations d'incidence et de vitesse de vol,2,est comparable par analogie au bouillonnement de l'eau dans une rivière,2,,
A56V,Les turbulences peuvent être engendrées par :,le relief,2,la rencontre de 2 vents différents,2,des ascendances thermiques,2,,,,
A57B,Un vent de 20 kt (nœuds) souffle à environ :,18 km/h,-6,36 km/h,6,20 km/h,-6,,,,
A58V,La direction du vent donnée par les services météo est toujours :,la direction d'où vient le vent,6,la direction où va le vent,-6,,,,,,
A59B,Un vent du 225° est un vent :,soufflant vers le cap 225°,-3,provenant du cap 225°,3,soufflant vers le nord-est,3,soufflant vers le sud-ouest,-3,,
A5M,Lorsqu'un nuage se forme :,du froid est dégagé,-6,de la chaleur est dégagée,6,l'ascendance s'arrête,-6,,,,
A60B,La rotation de la terre dévie les vents vers leur :,droite dans l'hémisphère nord,6,droite dans l'hémisphère sud,-6,gauche dans l'hémisphère nord,-6,,,,
A61B,"Autour des zones de haute pression, les vents tournent :",dans le sens des aiguilles d'une montre dans l'hémisphère nord,6,dans le sens contraire des aiguilles d'une montre dans l'hémisphère nord,-6,dans le sens des aiguilles d'une montre dans l'hémisphère sud,-6,,,,
A62B,"Dans l'hémisphère nord lorsque vous êtes face au vent, vous avez :",les hautes pressions à droite,-6,les basses pressions à droite,6,les hautes pressions dans votre dos,-6,,,,
A63B,On appelle inversion de la température la situation suivante :,une couche d'air froid qui est au-dessus d'une couche d'air chaud,-6,une couche d'air chaud qui est au-dessus d'une couche d'air froid,6,une couche d'air qui bloque le développement des ascendances,0,,,,
A64B,Dans une atmosphère à tendance stable :,il ne peut pas y avoir d'ascendances thermiques,-6,la structure de la masse d'air s'oppose au développement des ascendances,3,la température décroît rapidement quand on s'élève en altitude,-6,la température décroît doucement quand on s'élève en altitude,3,,
A65B,Dans une atmosphère à tendance instable :,il y a peu d'ascendances,-6,la température décroît rapidement quand on s'élève en altitude,3,les cumulus ont tendance à se développer,3,les stratus ont tendance à se développer,-6,,
A66M,Les perturbations du front polaire qui traversent la France proviennent généralement :,d'Europe centrale,-6,de l'Atlantique,6,des Açores,-6,de la Méditerranée,-6,,
A67M,Le front polaire :,sépare les masses d'air polaires et tropicales,2,sépare les masses chaudes équatoriales des masses froides polaires,0,fluctue dans chaque hémisphère autour des latitudes dites tempérées,2,a une importance déterminante dans le climat français,2,,
A68B,Lorsque 2 masses d'air de températures différentes se rencontrent :,elles se mélangent facilement,-6,l'air le plus chaud s'élève au-dessus de l'air froid,6,l'air le plus chaud s'infiltre au-dessous de l'air froid,-6,,,,
A69B,Types de fronts possibles dans une perturbation :,chaud,2,tempéré,-6,occlus,2,froid,2,,
A6B,Les rotors et les lenticulaires semblent fixes par rapport au sol car :,à leur niveau le vent est nul,-6,ils se forment à leur partie au vent et se désagrègent à leur partie sous le vent,6,leur durée de vie est très brève,-6,,,,
A70B,"Lors du passage d'un front, l'air chaud :",est soulevé,6,soulève l'air froid,-6,peut être refoulé vers le bas ou soulevé selon la situation,-6,,,,
A71B,Les tendances générales d'un front froid sont :,"aggravation rapide avec pluie, orages, vents forts, turbulences",6,aggravation lente avec pluie modérée,-6,temps brumeux couvert avec bruine,-6,,,,
A72B,Un front froid :,est sécurisant (air froid = air stable),-6,peut donner lieu à de fortes précipitations et turbulences,4,peut provoquer des coups de vent,2,donne peu de vent,-6,,
A73B,En général un front froid engendre des nuages :,par couches minces stratiformes,-6,isolés de type cumuliformes,-6,développés sur une grande épaisseur et des 2 types,6,,,,
A74B,Lors du passage d'un front chaud :,les pluies sont intermittentes et violentes,-6,les pluies sont continues,3,l'air est très humide et le système nuageux important,3,,,,
A75B,"La traîne d'une perturbation, c'est la zone :",d'air chaud compris entre le front chaud et le front froid,-6,d'air froid s'étendant à l'arrière du front froid,6,nuageuse très développée arrivant avec le front froid,-6,,,,
A76M,La traîne d'une perturbation :,"est toujours, dés le premier jour, favorable pour le vol libre",-6,provoque parfois des conditions trop violentes pour le vol libre en début de période,2,est caractérisée par un ciel bleu peuplé de petits cumulus appétissants,2,est généralement très favorable l'été,2,,
A77B,La situation météo la plus favorable à la formation d'orages isolés est :,un anticyclone,-6,une dépression,0,un marais barométrique,6,,,,
A78V,Une ascendance dynamique pure résulte :,de l'accélération du vent au sommet d'une montagne,-6,de la déviation vers le haut du vent par un obstacle,6,de la dilatation de l'air lorsqu'il monte le long de la pente,-6,,,,
A79V,La zone d'ascendance dynamique varie avec :,la force du vent,2,la forme de la pente,2,l'orientation de la pente par rapport au vent,2,,,,
A7B,Les nuages matérialisant les ondes de ressaut sont des :,cumulus congestus et cumulonimbus,-6,cirrostratus et nimbo stratus,-6,altocumulus lenticulaires et cumulus rotors,6,,,,
A80V,Le vent peut devenir dangereux notamment :,"dans le fond de vallée, là où il s'accélère (venturi)",2,dès que sa vitesse se rapproche de celle de l'aile,2,près des crêtes (risque d'être emporté sous le vent),2,,,,
A81V,Un rideau d'arbres face au vent provoque des turbulences :,côté au vent,-6,côté sous le vent,6,à sa verticale,0,,,,
A82V,Le gradient de vent est sensible :,par vent fort,2,sur terrain lisse et dégagé,2,sur terrain accidenté où il se mélange aux turbulences,2,,,,
A83V,Le gradient de vent à l'atterrissage :,dépend de l'état du sol,2,dépend de la vitesse du vent,2,vous oblige à voler plus lentement,-6,augmente le taux de chute,2,,
A84B,On risque de rencontrer une zone de cisaillement :,en traversant une couche d'inversion,2,en entrée et sortie de thermique,2,dans une confluence,2,,,,
A85B,Une confluence se rencontre habituellement :,au sommet d'une crête entre 2 vallées alimentées chacune par une brise,2,le long d'un front de brise de mer,2,entre une brise et un vent météo,2,,,,
A86V,"Par beau temps, en début d'après-midi, les brises de montagne :",se renforcent,3,diminuent,-6,remontent les pentes,3,descendent les pentes,-6,,
A87V,"Par beau temps, la brise de mer souffle lorsque :",le continent est plus chaud que la mer,6,le continent est plus froid que la mer,-6,la marée est descendante,-6,la marée est montante,-6,,
A88V,Par beau temps la brise de terre souffle lorsque :,le continent est plus chaud que la mer,-6,le continent est plus froid que la mer,6,la marée est descendante,-6,la marée est montante,-6,,
A89V,"Il fait beau sur la vallée (orientée nord-sud), le matin, par vent nul :",une brise montante va se développer sur les faces exposées à l'est,6,une brise montante va se développer sur les faces exposées à l'ouest,-6,des ascendances vont se développer au centre de la vallée,-6,,,,
A8V,"Cirrus, cirrocumulus et cirrostratus sont des nuages :",de l'étage inférieur,-6,de l'étage moyen,-6,de l'étage supérieur,6,,,,
A90V,"En montagne, les brises de pente :",apparaissent avec les brises de vallée,1,se déclenchent sur les versants ensoleillés,2,peuvent être renforcées ou détournées par les vents météo,2,sont turbulentes lorsque passent des thermiques,1,,
A91V,Les brises de pente sont descendantes :,plutôt le jour,-6,plutôt la nuit,6,à tout moment puisque descendantes dans les basses couches,-6,,,,
A92V,Une brise de vallée :,se renforce où la vallée se resserre,3,peut atteindre des vitesses très importantes,3,n'est jamais turbulente,-6,,,,
A93V,Une brise de vallée :,augmente quand on descend dans la basse couche,2,est particulièrement inquiétante l'hiver lorsque les massifs sont enneigés,-6,peut dépasser facilement les 30 km/h en été,2,accélère quand la vallée se resserre,2,,
A94B,Le vent de fœhn est caractérisé par :,un nuage orographique sur le relief au vent,2,"une descente d'air chaud, sec et très turbulent sous le vent du relief",4,un refroidissement de la masse d'air sous le vent du relief,-6,,,,
A95B,En situation de fœhn on observe :,des nuages dérivant avec le vent,-6,des turbulences dangereuses,3,un assèchement de la masse d'air sous le vent des reliefs,3,,,,
A96B,Les ondes de ressaut se rencontrent en altitude :,n'importe où dans une couche d'air instable,-6,au vent d'un relief dans une couche d'air stable,-6,sous le vent d'un relief dans une couche d'air stable,6,,,,
A97B,Les ondes de ressaut se développent lorsque le vent :,est faible en altitude et la masse d'air très instable,-6,est fort près du sol et la masse d'air très instable,-6,est de plus en plus fort en altitude et la masse d'air stable,6,,,,
A98B,La formation d'onde de ressaut est favorisée par :,une atmosphère instable,-6,une atmosphère stable,6,une atmosphère humide,-6,,,,
A99B,Facteurs favorisant l'instabilité :,le réchauffement du sol,6,le refroidissement du sol,-6,l'arrivée d'air chaud en altitude,-6,,,,
A9V,Altocumulus et altostratus sont des nuages :,de l'étage inférieur,-6,à l'étage moyen,6,à l'étage supérieur,-6,,,,
E10B,La portance d'une aile est due à :,la déviation non symétrique des filets d'air par le profil de l'aile,3,une dépression apparaissant au-dessous du profil et une surpression au-dessus,-6,une dépression apparaissant au-dessus du profil et une surpression au-dessous,3,,,,
E11B,La portance en vol rectiligne stabilisé est :,plus faible que le poids total aile + pilote,3,perpendiculaire à la trajectoire-air,3,"identique, quelle que soit la vitesse de l'aile",-6,,,,
E12B,"En soufflerie, lorsque l'angle d'incidence augmente à partir de 0°, la portance :",ne varie pratiquement pas,-6,"augmente, passe par un maximum, diminue puis s'effondre brusquement (décrochage)",6,augmente progressivement jusqu'au décrochage,-6,,,,
E13B,"Sur une aile en vol rectiligne stabilisé, lorsque le pilote provoque un accroissement de l'incidence, transitoirement :",la trajectoire s'incurve vers le haut,3,la vitesse sur trajectoire augmente,-6,la trajectoire s'incurve vers le bas,-6,la vitesse sur trajectoire diminue,3,,
E14B,"Sur une aile en vol rectiligne stabilisé, lorsque le pilote provoque une diminution de l'incidence :",la trajectoire s'incurve transitoirement vers le haut,-6,la vitesse sur trajectoire augmente,3,la trajectoire s'incurve transitoirement vers le bas,3,la vitesse sur trajectoire diminue,-6,,
E15B,"Sur une aile en vol, il y a plusieurs types de traînées de natures bien distinctes :",la traînée de frottement,2,la traînée de forme,2,la traînée induite,2,,,,
E16B,La traînée sur l'ensemble aile + pilote :,est indépendante de la vitesse-air,-6,est indépendante de la forme de l'aile,-6,se divise en traînée de forme + traînée induite + traînée de frottement,6,,,,
E17B,La traînée d'une aile est :,indépendante de la vitesse-air,-6,une force de résistance à la pénétration dans l'air,3,proportionnelle au carré de la vitesse-air,3,proportionnelle au cube de la vitesse-air,-6,,
E18B,La traînée totale d'un aéronef se divise en :,traînée induite,2,traînée de forme ou de pression,2,traînée de frottement ou de profil,2,,,,
E19B,La traînée induite :,est due au pilote et aux câbles ou suspentes,-6,se manifeste entre autres par des tourbillons marginaux (vortex),6,est due aux irrégularités de surface de l'aile,-6,,,,
E1B,"Autour d'un profil d'aile, l'écoulement de l'air peut être :",turbulent,2,résonnant,-6,laminaire,2,décollé,2,,
E20M,Une augmentation importante de la traînée au niveau du pilote a pour conséquence :,une modification à piquer du centrage sur le parapente,3,une modification à cabrer du centrage sur le parapente,-6,une diminution de la finesse/air,3,une augmentation de la finesse/air,-6,,
E21B,La traînée d'un parapente se décompose en :,traînée de forme ou de pression,2,traînée induite,2,traînée de frottement ou de profil,2,traînée de sillage,-6,,
E22V,"En finale, quand le pilote se redresse, il :",améliore sa pénétration,-6,détériore sa pénétration,2,augmente son taux de chute,2,augmente sa traînée,2,,
E23B,"Parmi les points suivants, certains améliorent la finesse :",profil optimisé par un bel état de surface,2,suspentes fines ou montants de trapèze profilés,2,harnais profilé,2,faire les oreilles,-6,,
E24V,Une aile peut pivoter autour des axes de :,lacet,2,roulis,2,corde,-6,tangage,2,,
E25B,"L'effet girouette, c'est la conséquence d'une rotation autour de l'axe de :",roulis,-6,tangage,-6,lacet,6,,,,
E26B,L'effet girouette remet l'aile :,en vol face au vent météo,-6,en vol face à son vent relatif,3,"au sol, à l'arrêt, face au vent instantané",3,au sol face au vent moyen,-6,,
E27B,Un mouvement de lacet à droite déclenche principalement :,un couple piqueur,-6,un couple cabreur,-6,du roulis induit à droite,6,du roulis induit à gauche,-6,,
E2V,Les particules d'air sur l'extrados :,vont à la même vitesse que celles sous l'intrados,-6,vont plus vite que celles sous l'intrados,6,vont plus lentement que celles sous l'intrados,-6,,,,
E30V,La polaire des vitesses est une courbe :,montrant la forme d'un profil d'aile,-6,montrant les différentes vitesses que peut atteindre une aile donnée en vol rectiligne stabilisé pour une charge donnée,6,montrant les facteurs de charge d'une aile en virage engagé,-6,,,,
E31B,"Lorsque je vole aux régimes de vol de croisière, mon incidence :",est inférieure à l'incidence de mon taux de chute mini,6,est supérieure à mon incidence de taux de chute mini,-6,,,,,,
E32M,Tous les régimes de vol avec un angle d'incidence supérieur à celui du taux de chute mini :,correspondent à de mauvaises performances pour l'aile,6,sont les plus éloignés du décrochage,-6,correspondent au maximum de maniabilité de l'aile,-6,sont conseillés pour voler près du sol,-6,,
E33V,"On appelle vent relatif, le vent :",dû à la vitesse-sol de l'appareil,-6,dû au déplacement de l'appareil dans l'air,3,ressenti par le pilote sur son visage,3,,,,
E34V,La vitesse du vent relatif est :,égale à la vitesse de l'appareil sur sa trajectoire-air,6,influencée par le vent météo,-6,toujours la même,-6,,,,
E35V,La vitesse-air se définit par rapport :,à l'air traversé,6,au sol,-6,au vent météo,-6,,,,
E36V,Le vent relatif :,ne varie jamais,-6,a pour axe la trajectoire-air de l'aile,6,a pour axe la trajectoire-sol de l'aile,-6,,,,
E37B,Un vent régulier en force et direction n'a aucune influence :,sur la vitesse-sol,-6,sur la vitesse-air,6,sur la finesse-sol,-6,,,,
E38B,"Vous volez par fort vent arrière, cela implique :",une diminution de la Force Aérodynamique,-6,une augmentation de l'incidence,-6,une augmentation de la vitesse-sol,3,une augmentation de la finesse-sol,3,,
E39B,"Vous volez à une vitesse-air de 35 km/h avec 10 km/h de vent arrière, votre vitesse-sol :",reste inchangée,-6,est d'environ 25 km/h,-6,est d'environ 45 km/h,6,,,,
E3V,Le centre de poussée est le point d'application :,des Forces de Pesanteur,-6,des Forces Aérodynamiques,6,,,,,,
E40B,"En traversant une masse d'air turbulent, l'ensemble aile + pilote est soumis à des variations :",d'incidence,2,de vitesse-air,2,de masse,-6,de Force Aérodynamique,2,,
E41M,"Vous recevez une rafale de vent arrière, cela provoque transitoirement :",une diminution de la Force Aérodynamique,2,une diminution de l'incidence,-6,une augmentation de la vitesse-sol,2,une augmentation de l'incidence,2,,
E42M,"Vous recevez une rafale de vent de face, cela provoque transitoirement :",une augmentation de la Force Aérodynamique,2,une augmentation de l'incidence,-6,une diminution de la vitesse-sol,2,une diminution de l'incidence,2,,
E43M,"Lorsque vous entrez dans une ascendance, transitoirement, l'incidence :",diminue,-6,augmente,6,ne change pas,-6,,,,
E44M,"Lorsque vous entrez dans une descendance, transitoirement, l'incidence :",diminue,6,augmente,-6,ne change pas,-6,,,,
E45M,"Lorsque l'aile entre dans une ascendance, transitoirement :",l'incidence diminue,-6,la Force Aérodynamique augmente et l'aile accélère vers le haut,3,l'incidence augmente,3,,,,
E46M,"Lorsqu'une aile entre dans une descendance, transitoirement :",l'incidence augmente,-6,l'incidence diminue,3,"la Force Aérodynamique diminue, l'aile accélère vers le bas",3,,,,
E47B,Une aile en vol stabilisé dans une ascendance :,monte par rapport à l'air ascendant,-6,descend par rapport à l'air ascendant,6,monte à la même vitesse que l'air ascendant,-6,,,,
E48M,"Pour une même position des commandes qu'en air immobile, dans une ascendance régulière :",ma vitesse-air est plus élevée,-6,ma vitesse-air est la même,3,mon incidence est la même,3,mon incidence est plus élevée,-6,,
E49B,"Vous êtes dans une masse d'air descendante, la finesse-sol :",est améliorée,-6,est dégradée,6,reste la même,-6,,,,
E4V,Le centre de poussée d'une aile stabilisée se trouve :,au centre géométrique de l'aile,-6,dans la partie arrière de l'aile,-6,dans la partie avant de l'aile,6,,,,
E50V,L'angle d'incidence est défini par le plan de l'aile et :,le vent relatif,3,l'horizontale,-6,la résultante des forces aérodynamiques,-6,la trajectoire,3,,
E51V,L'angle entre le plan de l'aile et le vent relatif est appelé :,angle de plané,-6,angle d'incidence,6,assiette,-6,,,,
E52V,L'assiette est l'angle entre :,le plan de l'aile et le vent relatif,-6,le vent relatif et l'horizontale,-6,le plan de l'aile et l'horizontale,6,,,,
E53B,"Lorsque je vole bras hauts, à vitesse max non-accélérée, mon incidence :",diminue si je bride mon aile,-6,augmente si j'utilise mon accélérateur,-6,reste constante si mon vol est équilibré,3,est inférieure à l'incidence du taux de chute mini,3,,
E54V,"On appelle angle de plané, l'angle entre :",la corde de l'aile et la trajectoire,-6,la trajectoire et l'horizontale,6,l'horizontale et la corde de l'aile,-6,,,,
E55B,"Dans un virage, l'aile s'incline principalement grâce à un mouvement de :",lacet,-6,roulis,6,tangage,-6,,,,
E56B,Le poids apparent sur un appareil en virage équilibré est :,égal au poids total aile + pilote,-6,supérieur au poids total aile+pilote,6,inférieur au poids total aile + pilote,-6,,,,
E57B,La finesse-sol est le rapport :,vitesse verticale sur vitesse horizontale,-6,vitesse-sol horizontale sur vitesse-sol verticale,6,vitesse de vol sur taux de chute,-3,portance sur traînée,-3,,
E58B,La finesse-air est le rapport :,portance sur traînée,3,traînée sur portance,-6,distance parcourue horizontalement sur distance parcourue verticalement,-6,vitesse-air horizontale sur vitesse-air verticale,3,,
E59M,La finesse-air :,varie avec l'incidence de l'appareil,3,passe par un maximum pour une certaine valeur de l'incidence,3,est maximale lorsque le taux de chute est minimal,-6,est maximale juste avant le décrochage,-6,,
E5V,En vol rectiligne stabilisé :,la traînée s'oppose au déplacement de l'aile sur sa trajectoire-air,3,la portance est perpendiculaire à la trajectoire-air,3,la Force Aérodynamique est légèrement inférieure au Poids Total Volant,-6,,,,
E60M,"La finesse-air, c'est :","en air calme, le rapport de la distance horizontale sur la hauteur parcourue",2,une valeur de performance d'une aile,2,toujours la même chose que la finesse-sol,-6,le rapport de la vitesse horizontale sur la vitesse verticale,2,,
